"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"3892","IRA2","YOL081W",430,"1 2 3 4 5 7 10 12 14",0.297485718162152,10.544,0.588,3100,"GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions; IRA2 has a paralog, IRA1, that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis"
"3893","PET112","YBL080C",2382,"1 2 3 4 5 7 10 12 14",0.297877683087623,10.899,0.44,3350,"Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog"
"1155",NA,"YJR015W",3224,"1 2 3 4 5 7 10 12",0.298385403036309,11.557,-0.462,2220,"Putative protein of unknown function; localizes to endoplasmic reticulum and cytoplasm; predicted to encode a membrane transporter based on phylogenetic analysis; not an essential gene; YJR015W has a paralog, SNG1, that arose from the whole genome duplication"
"1156",NA,"YHR213W-A",2808,"2 3 4 5 7 10 12 14",0.299137150244035,11.072,-0.579,656,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"1157","CSH1","YBR161W",3344,"2 3 4 5 7 10 12 14",0.29964570986689,11.445,-0.39,892,"Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; forms a complex with regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Sur1p; CSH1 has a paralog, SUR1, that arose from the whole genome duplication"
"1158","GYL1","YMR192W",3410,"7 10 12 14",0.299660809825421,10.633,-0.442,1360,"Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p, Rvs161p, and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog, GYP5, that arose from the whole genome duplication"
"1159","RPS18A","YDR450W",3355,"4 5 7 10 12 14",0.301367258407398,12.739,-0.383,10300,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18A has a paralog, RPS18B, that arose from the whole genome duplication; protein increases in abundance and relocalizes from cytoplasm to nuclear foci upon DNA replication stress"
"1160","BNA2","YJR078W",503,"2 3 4 5 10 12 14",0.301647872798338,11.294,-0.382,238,"Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase; required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp"
"1161","HYM1","YKL189W",3127,"2 3 4 5 7 10 12 14",0.302357951397907,11.58,-0.408,3430,"Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response"
"1162",NA,"YDR286C",2063,"1 2 3 4 5 7 10 12 14",0.302434603266369,10.94,-0.448,NA,"Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site"
"3897","CDC16","YKL022C",360,"2 3 4 5 7 10 12 14",0.30251283163806,9.373,0.336,36500,"Subunit of the anaphase-promoting complex/cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation; relocalizes to the cytosol in response to hypoxia"
"3898","ASG1","YIL130W",2830,"4 5 7 10 12 14",0.302584947341734,10.989,0.432,2230,"Zinc cluster protein proposed to be a transcriptional regulator; regulator involved in the stress response; null mutants have a respiratory deficiency, calcofluor white sensitivity and slightly increased cycloheximide resistance"
"3899","SLX9","YGR081C",1725,"3 4 5 7 10 12 14",0.302618018838272,11.56,0.42,2780,"Protein required for pre-rRNA processing; associated with the 90S pre-ribosome and 43S small ribosomal subunit precursor; interacts with U3 snoRNA; deletion mutant has synthetic fitness defect with an sgs1 deletion mutant"
"3900","YCS4","YLR272C",390,"1 2 3 4 5",0.302951893495641,10.934,0.533,2240,"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation, chromatin binding of condensin, tRNA gene clustering at the nucleolus, and silencing at the mating type locus; required for replication slow zone (RSZ) breakage following Mec1p inactivation"
"3901","TOP1","YOL006C",987,"7 10 12 14",0.303142261611065,12.78,0.283,NA,"Topoisomerase I; nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone; relaxes both positively and negatively supercoiled DNA; functions in replication, transcription, and recombination; role in processing ribonucleoside monophosphates in genomic DNA into irreversible single-strand breaks; enzymatic activity and interaction with Nsr1p are negatively regulated by polyphosphorylation"
"3902","OSM1","YJR051W",230,"2 4 5 7 10 12 14",0.303289658441458,10.72,0.53,1620,"Fumarate reductase, catalyzes the reduction of fumarate to succinate; required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity; has two translation start sites, one at the annotated start codon which produces an ER-targeted form required for anaerobic growth, and one at codon 32 which produces a mitochondrially-targeted form; OSM1 has a paralog, FRD1, that arose from the whole genome duplication"
"1163","KIN4","YOR233W",1779,"2 4 5 7 10 12 14",0.303763192030546,11.142,-0.461,NA,"Serine/threonine protein kinase; inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex, spindle pole body and bud neck; KIN4 has a paralog, FRK1, that arose from the whole genome duplication"
"3903","PWP1","YLR196W",1142,"1 7 10 12 14",0.304020498206283,14.359,0.113,815,"Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily"
"1164","IRC20","YLR247C",3258,"2 3 4 5 7 10 12 14",0.304136157154678,11.577,-0.365,68500,"E3 ubiquitin ligase and putative helicase; involved in synthesis-dependent strand annealing-mediated homologous recombination; ensures precise end-joining along with Srs2p in the Yku70p/Yku80p/Lig4p-dependent nonhomologous end joining (NHEJ) pathway; localizes to both the mitochondrion and the nucleus; contains a Snf2/Swi2 family ATPase/helicase and a RING finger domain; interacts with Cdc48p and Smt3p; null mutant displays increased levels of spontaneous Rad52p foci"
"3904","USE1","YGL098W",1301,"1 2 3 4 5 7 10 12 14",0.304668498961935,10.977,0.494,7470,"Essential SNARE protein localized to the ER; involved in retrograde traffic from the Golgi to the ER and Sey1p-independent homotypic ER fusion; required for efficient nuclear fusion during mating; forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p"
"3905","NRP1","YDL167C",1882,"1 3 4 5 7 10 12 14",0.305644239828514,11.192,0.401,583,"Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis"
"3906","UTR1","YJR049C",2347,"2 7 10 12 14",0.305652652946665,13.952,0.129,NA,"ATP-NADH kinase; phosphorylates both NAD and NADH; active as a hexamer; enhances the activity of ferric reductase (Fre1p); UTR1 has a paralog, YEF1, that arose from the whole genome duplication"
"1165","AAD14","YNL331C",583,"1 2 3 4 5 7 10 12 14",0.305660809716513,11.141,-0.39,NA,"Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family"
"3907","SAS5","YOR213C",1929,"1 2 3 4 5 7 10 12 14",0.306199923625959,10.59,0.499,NA,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; stimulates Sas2p HAT activity"
"3908","STE20","YHL007C",244,"2 3 4 5 7 10 12 14",0.306564065504862,11.102,0.411,NA,"Cdc42p-activated signal transducing kinase; involved in pheromone response, pseudohyphal/invasive growth, vacuole inheritance, down-regulation of sterol uptake; GBB motif binds Ste4p; member of the PAK (p21-activated kinase) family"
"3909","OCA5","YHL029C",848,"1 2 3 4 5 7 10 12 14",0.306704358647608,12.07,0.399,NA,"Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts"
"1167","PDR15","YDR406W",1818,"2 4 5 7 10 12 14",0.306997158294075,11.766,-0.364,3490,"Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication"
"3910","HIS3","YOR202W",1526,"1 2 3 4 5 7 10 12 14",0.307140801392733,11.111,0.494,NA,"Imidazoleglycerol-phosphate dehydratase; catalyzes the sixth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control via Gcn4p"
"1168","DOG2","YHR043C",50,"1 3 4 5 7 10 12 14",0.307140801392733,11.617,-0.426,8400,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed; DOG2 has a paralog, DOG1, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae"
"3912","YPT32","YGL210W",896,"1 2 3 4 5 7 12",0.307641803709322,10.139,0.41,8260,"Rab family GTPase involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi; protein abundance increases in response to DNA replication stress; YPT32 has a paralog, YPT31, that arose from the whole genome duplication"
"3913",NA,"YDL086W",2671,"1 2 3 7 10 12 14",0.30767204549186,15.911,0.053,2330,"Putative carboxymethylenebutenolidase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL086W is not an essential gene"
"3914","CHO1","YER026C",3274,"1 2 7 10 14",0.308679492580418,15.477,0.114,3620,"Phosphatidylserine synthase; functions in phospholipid biosynthesis; catalyzes the reaction CDP-diaclyglycerol + L-serine = CMP + L-1-phosphatidylserine, transcriptionally repressed by myo-inositol and choline"
"3915",NA,"YGR015C",2235,"1 2 3 4 5 7 10 12 14",0.309385282013426,11.068,0.524,2400,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion"
"1170","TPI1","YDR050C",1947,"2 3 4 5 12 14",0.309489503436841,15.869,-0.063,NA,"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; inhibition of Tpi1p activity by PEP (phosphoenolpyruvate) stimulates redox metabolism in respiring cells; E104D mutation in human homolog TPI1 causes a rare autosomal disease; human TPI1 can complement yeast null mutant"
"3916","JJJ3","YJR097W",1679,"3 4 5 7 10 12 14",0.309731204081984,11.456,0.378,573,"Protein of unknown function; contains a CSL Zn finger and a DnaJ-domain; involved in diphthamide biosynthesis; ortholog human Dph4"
"1171","PRP42","YDR235W",2488,"3 7 10 12 14",0.30986596453157,8.845,-0.443,1520,"U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats"
"1172","TIP41","YPR040W",457,"1 2 3 4 5 7 10 12 14",0.309890119633878,9.907,-0.391,656,"Protein that interacts with Tap42p, which regulates PP2A; component of the TOR (target of rapamycin) signaling pathway; protein abundance increases in response to DNA replication stress"
"1173","MAL12","YGR292W",2637,"2 3 4 5 7 10 12 14",0.311242860072486,11.105,-0.419,1250,"Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose"
"3917","RSA1","YPL193W",866,"1 3 4 5 7 10 12 14",0.311386825096675,11.234,0.425,1030,"Protein involved in the assembly of 60S ribosomal subunits; functionally interacts with Dbp6p; functions in a late nucleoplasmic step of the assembly"
"3918","EXG2","YDR261C",2354,"2 4 5 7 10 12 14",0.311711356982677,10.851,0.402,NA,"Exo-1,3-beta-glucanase; involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor"
"1175","IST3","YIR005W",1607,"1 4 5 7 10 12",0.311711356982677,11.283,-0.428,NA,"Component of the U2 snRNP; required for the first catalytic step of splicing and for spliceosomal assembly; interacts with Rds3p and is required for Mer1p-activated splicing; diploid mutants have a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids"
"1174","FMN1","YDR236C",3191,"4 5 7 10 12 14",0.311711356982677,11.615,-0.35,377,"Riboflavin kinase, produces riboflavin monophosphate (FMN); FMN is a necessary cofactor for many enzymes; predominantly localizes to the microsomal fraction and also found in the mitochondrial inner membrane"
"1176","ASP3-3","YLR158C",361,"2 4 5 10 12 14",0.311797157127507,11.284,-0.374,538,"Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative; reference strain S288C has four copies of ASP3; ASP3-3 has a paralog, ASP3-1, that arose from a segmental duplication"
"3919","HIP1","YGR191W",1872,"1 4 5 7 10 12 14",0.311938581198899,13.223,0.216,4750,"High-affinity histidine permease; also involved in the transport of manganese ions"
